Case Number,Date of Crash,Crash Severity,Longitude,Latitude
20251462753,20250107,Property Damage Only,-92.5658125217,41.0197114056
20251462762,20250107,Property Damage Only,-92.5542899234,43.333527633
20251462774,20250108,Property Damage Only,-92.29654657,43.0595783674
20251462780,20250104,Property Damage Only,-91.6570846891,41.9443541972
20251462790,20250106,Property Damage Only,-91.6295510502,42.0222045147
20251462798,20250107,Property Damage Only,-93.0856630454,41.3422344166
20251462800,20250107,Property Damage Only,-94.1084862106,41.5968876195
20251462848,20250108,Property Damage Only,-93.418287349,43.2290784347
20251462856,20250108,Property Damage Only,-90.7590460925,41.4562582903
20251462857,20250108,Property Damage Only,-90.3616709682,41.6974955506
20251462860,20250108,Suspected Minor Injury Crash,-95.2559667833,43.4304474466
20251462865,20250108,Property Damage Only,-93.8093210742,41.575441857
20251462871,20250108,Property Damage Only,-94.1158851921,41.905643338
20251462882,20250109,Property Damage Only,-90.7286896965,42.4909687794
20251462884,20250108,Property Damage Only,-94.1870086713,42.4977694609
20251462891,20250108,Property Damage Only,-96.1156495285,42.5474985604
20251462894,20250108,Property Damage Only,-90.7104192283,42.558126118
20251462895,20250108,Property Damage Only,-90.6933069964,42.5412132365
20251462896,20250109,Property Damage Only,-90.6601568753,42.4551623412
20251462902,20250108,Property Damage Only,-91.1673477999,42.2407418084
20251462921,20250107,Property Damage Only,-91.9260401695,43.4600973071
20251462934,20250101,Property Damage Only,-94.6362349949,42.449918065
20251462936,20250108,Property Damage Only,-92.5508725229,41.0234015562
20251462983,20250107,Property Damage Only,-93.8458972814,42.3628877379
20251463028,20250109,Property Damage Only,-90.2475019788,41.8353161833
20251463032,20250109,Property Damage Only,-91.5937844427,41.9257454091
20251463035,20250109,Property Damage Only,-90.5924865117,41.901879468
20251463047,20250109,Property Damage Only,-90.6796298031,42.270038055
20251463054,20250109,Property Damage Only,-91.0767152534,42.664280786
20251463057,20250110,Property Damage Only,-95.499164212,42.8650240494
20251463058,20250109,Property Damage Only,-93.6986581473,42.0731935786
20251463063,20250109,Property Damage Only,-93.9861296474,42.2530011685
20251463077,20250110,Property Damage Only,-91.2947028892,42.0713220452
20251463078,20250109,Property Damage Only,-91.4321389343,42.4705332336
20251463080,20250109,Property Damage Only,-91.7591509757,43.3597295314
20251463086,20250110,Property Damage Only,-90.6941543106,42.3823410854
20251463092,20250104,Property Damage Only,-93.9033669052,40.6056849283
20251463106,20250109,Property Damage Only,-96.2323914295,43.1565947828
20251463107,20250109,Property Damage Only,-96.3756572468,43.1996331141
20251463111,20250109,Property Damage Only,-94.0508954625,41.1499379893
20251463129,20250108,Property Damage Only,-93.3518354438,42.8137643254
20251463139,20250102,Property Damage Only,-91.2884943616,41.2773424109
20251463158,20250109,Property Damage Only,-90.7401153477,41.4990654968
20251463160,20250107,Property Damage Only,-92.2877051046,42.5274959105
20251463162,20250110,Property Damage Only,-91.7550418307,41.9865819524
20251463163,20250110,Property Damage Only,-91.8264521483,42.2027384951
20251463188,20250110,Property Damage Only,-92.7271958388,41.6767040094
20251463206,20250111,Property Damage Only,-92.7289784569,43.0600507288
20251463213,20250110,Property Damage Only,-91.1094113327,41.5087759623
20251463221,20250110,Property Damage Only,-91.4097771399,42.8187865827
20251463227,20250111,Property Damage Only,-94.6591292432,43.3997440343
20251463236,20250111,Property Damage Only,-95.5545298698,42.7024726711
20251463252,20250108,Property Damage Only,-93.6850852766,41.6603583972
20251463258,20250111,Property Damage Only,-92.0916419343,41.7970315645
20251463290,20250111,Property Damage Only,-91.0441581798,41.0473398309
20251463298,20250111,Property Damage Only,-90.4324654295,41.6855909331
20251463303,20250110,Property Damage Only,-93.8329545427,41.6148686749
20251463306,20250111,Property Damage Only,-93.7954507991,41.5418785392
20251463307,20250111,Property Damage Only,-95.7307392189,41.2324869435
20251463327,20250111,Property Damage Only,-93.98384559,41.6138384147
20251463329,20250110,Property Damage Only,-92.0337586025,41.7890475491
20251463330,20250112,Property Damage Only,-92.1631342798,41.662073617
20251463334,20250109,Property Damage Only,-91.5629220163,42.0330977463
20251463337,20250110,Property Damage Only,-91.5365112747,40.4800061439
20251463344,20250111,Property Damage Only,-95.5024404423,42.35788227
20251463370,20250112,Property Damage Only,-94.9355841465,43.2005986399
20251463379,20250103,Property Damage Only,-94.3444313881,42.5270460818
20251463382,20250112,Property Damage Only,-90.7574448158,42.3968531505
20251463394,20250111,Property Damage Only,-95.9550250485,42.2335044349
20251463399,20250111,Property Damage Only,-93.4986969639,41.8776121274
20251463400,20250111,Property Damage Only,-91.3190361765,42.070834556
20251463401,20250111,Property Damage Only,-91.3135548291,42.0705920072
20251463406,20250112,Property Damage Only,-91.2855531107,43.0071596616
20251463415,20250112,Property Damage Only,-93.8455892241,42.3661772009
20251463419,20250112,Property Damage Only,-93.6362612702,41.1909068977
20251463431,20250109,Property Damage Only,-92.4629340719,42.7138505367
20251463436,20250111,Property Damage Only,-92.5006272801,42.7160743347
20251463437,20250110,Property Damage Only,-92.8337996399,41.4228276742
20251463438,20250111,Property Damage Only,-92.7099692692,41.2625335816
20251463444,20250112,Property Damage Only,-91.9326165445,41.0444303125
20251463447,20250113,Property Damage Only,-93.6891822622,41.366739249
20251463484,20250112,Property Damage Only,-94.0703368573,41.5828197365
20251463497,20250112,Property Damage Only,-93.8857157919,41.5366159819
20251463501,20250111,Property Damage Only,-96.5247396101,42.8718035387
20251463503,20250111,Property Damage Only,-91.1150080572,41.0874240644
20251463505,20250111,Property Damage Only,-91.2827984299,41.2773656553
20251463506,20250111,Property Damage Only,-91.1345194498,41.2471174169
20251463527,20250110,Property Damage Only,-91.1557815864,40.7376484154
20251463529,20250104,Property Damage Only,-92.9152948472,41.9825117767
20251463530,20250109,Property Damage Only,-92.9168550293,41.9430994874
20251463533,20250106,Property Damage Only,-93.5223550363,41.6730665576
20251463545,20250110,Property Damage Only,-93.9743549762,41.3806482728
20251463546,20250113,Property Damage Only,-94.0132826539,41.2479909569
20251463554,20250113,Property Damage Only,-91.0849042731,41.5084874429
20251463559,20250112,Property Damage Only,-94.2266657184,42.6672329259
20251463584,20250113,Property Damage Only,-91.3768382325,42.0884183166
20251463585,20250114,Property Damage Only,-90.1934107134,42.0364791324
20251463590,20250114,Property Damage Only,-95.3679534429,41.9948600573
20251463592,20250110,Property Damage Only,-91.3893750301,42.8639409303
20251463599,20250113,Property Damage Only,-94.2356694639,42.5153745139
20251463607,20250114,Property Damage Only,-92.581449085,42.026570036
20251463614,20250113,Property Damage Only,-91.1097058411,42.5394313099
